id_str,coor_lat,coor_long,coorpt,created,created_secs,geo_lat,geo_long,geo_type,bbox,bbox_type,bbox_lat1,bbox_long1,bbox_lat2,bbox_long2,bbox_full_name,bbox_city,bbox_state,bbox_name,bbox_place_type,timestamp_ms,user_geo_able,user_id,user_location
593822359708147712,None,None,None,Thu Apr 30 17:00:57 +0000 2015,1430431257.0,None,None,Point,"[[[-84.32187, 33.752879], [-84.32187, 36.588118], [-75.40012, 36.588118], [-75.40012, 33.752879]]]",Polygon,33.752879,-84.32187,36.588118,-75.40012,"North Carolina, USA",None,North Carolina,North Carolina,admin,1430413257897,True,184412909,
593822366318333954,None,None,None,Thu Apr 30 17:00:59 +0000 2015,1430431259.0,None,None,Point,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",Polygon,36.540739,-83.67529,39.466012,-75.16644,"Virginia, USA",None,Virginia,Virginia,admin,1430413259473,True,219455961,DM(V)
593822367350018049,None,None,None,Thu Apr 30 17:00:59 +0000 2015,1430431259.0,None,None,Point,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",Polygon,36.540739,-83.67529,39.466012,-75.16644,"Virginia, USA",None,Virginia,Virginia,admin,1430413259719,True,1462570710,
593822368105156608,None,None,None,Thu Apr 30 17:00:59 +0000 2015,1430431259.0,None,None,Point,"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",Polygon,39.719801,-80.519851,42.516072,-74.689517,"Pennsylvania, USA",None,Pennsylvania,Pennsylvania,admin,1430413259899,True,244197854,Pennsylvania / NYC 
593822376325980160,None,None,None,Thu Apr 30 17:01:01 +0000 2015,1430431261.0,None,None,Point,"[[[-76.711517, 39.197211], [-76.711517, 39.372215], [-76.529388, 39.372215], [-76.529388, 39.197211]]]",Polygon,39.197211,-76.711517,39.372215,-76.529388,"Baltimore, MD",Baltimore,MD,Baltimore,city,1430413261859,True,317190063,
593822381707243520,None,None,None,Thu Apr 30 17:01:03 +0000 2015,1430431263.0,None,None,Point,"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",Polygon,39.719801,-80.519851,42.516072,-74.689517,"Pennsylvania, USA",None,Pennsylvania,Pennsylvania,admin,1430413263142,True,68315113,Philadelphia Pa
593822383112347648,None,None,None,Thu Apr 30 17:01:03 +0000 2015,1430431263.0,None,None,Point,"[[[-82.644739, 37.201483], [-82.644739, 40.638802], [-77.718935, 40.638802], [-77.718935, 37.201483]]]",Polygon,37.201483,-82.644739,40.638802,-77.718935,"West Virginia, USA",None,West Virginia,West Virginia,admin,1430413263477,True,1279517976,"Hacker Valley, WV"
593822386631352321,None,None,None,Thu Apr 30 17:01:04 +0000 2015,1430431264.0,None,None,Point,"[[[-76.62797, 36.960216], [-76.62797, 37.220386], [-76.387647, 37.220386], [-76.387647, 36.960216]]]",Polygon,36.960216,-76.62797,37.220386,-76.387647,"Newport News, VA",Newport News,VA,Newport News,city,1430413264316,True,174128589,VA
593822396169093120,39.46081,-74.616346,Point,Thu Apr 30 17:01:06 +0000 2015,1430431266.0,39.46081,-74.616346,Point,"[[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]]",Polygon,38.788657,-75.563587,41.357424,-73.88506,"New Jersey, USA",None,New Jersey,New Jersey,admin,1430413266590,True,2362771358,
593822397049929728,None,None,None,Thu Apr 30 17:01:06 +0000 2015,1430431266.0,None,None,Point,"[[[-77.119401, 38.801826], [-77.119401, 38.9953797], [-76.909396, 38.9953797], [-76.909396, 38.801826]]]",Polygon,38.801826,-77.119401,38.9953797,-76.909396,"Washington, DC",Washington,DC,Washington,city,1430413266800,True,27326253,"Washington, DC SW"
593822398127939586,None,None,None,Thu Apr 30 17:01:07 +0000 2015,1430431267.0,None,None,Point,"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",Polygon,39.719801,-80.519851,42.516072,-74.689517,"Pennsylvania, USA",None,Pennsylvania,Pennsylvania,admin,1430413267057,True,987970867,"Reading,PA"
593822396920045571,37.618392,-77.638685,Point,Thu Apr 30 17:01:06 +0000 2015,1430431266.0,37.618392,-77.638685,Point,"[[[-77.651963, 37.55723], [-77.651963, 37.641884], [-77.525824, 37.641884], [-77.525824, 37.55723]]]",Polygon,37.55723,-77.651963,37.641884,-77.525824,"Tuckahoe, VA",Tuckahoe,VA,Tuckahoe,city,1430413266769,True,1096109677,"Richmond, VA, US, 23238"
593822403567951873,39.652254,-78.7301,Point,Thu Apr 30 17:01:08 +0000 2015,1430431268.0,39.652254,-78.7301,Point,"[[[-78.812786, 39.604364], [-78.812786, 39.7221912], [-78.703253, 39.7221912], [-78.703253, 39.604364]]]",Polygon,39.604364,-78.812786,39.7221912,-78.703253,"Cumberland, MD",Cumberland,MD,Cumberland,city,1430413268354,True,239491245,
593822410073243649,None,None,None,Thu Apr 30 17:01:09 +0000 2015,1430431269.0,None,None,Point,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",Polygon,36.540739,-83.67529,39.466012,-75.16644,"Virginia, USA",None,Virginia,Virginia,admin,1430413269905,True,522108364,"Hyderabad, Pakistan"
